wavelength,mean_flux,mean_err
1443.0,4.7543089708254955,0.987401022838966
1444.5,5.189538566437466,1.0394298504662733
1446.0,4.152941082130567,0.9728285889378255
1447.5,3.4308499421508722,0.9421765520359566
1449.0,4.378164554613748,0.9261335365665693
1450.5,4.692958884240094,0.9504158884069194
1452.0,4.245624624912945,0.8086941374219485
1453.5,4.353999717150529,0.8868058149766159
1455.0,4.675554467644937,0.8631019113762313
1456.5,4.400137088362125,0.9132495478079008
1458.0,4.785401858458484,0.880749698735974
1459.5,4.971599012950651,0.931520065915097
1461.0,4.91167333162504,0.9014168542685521
1462.5,3.9261717490592667,0.8513921812773811
1464.0,4.939976975348707,0.8645742946900689
1465.5,4.323379711221789,0.8375215470895597
1467.0,4.845976799874316,0.8944453765952268
1468.5,4.936401642996744,0.838668140235714
1470.0,3.8259177958824497,0.8000635370615736
1471.5,3.910589016402108,0.8094545508347076
1473.0,4.765622733407102,0.8910705444067973
1474.5,5.02688721419374,0.8654188699337221
1476.0,4.685319401844185,0.7542633645850474
1477.5,4.194655387620394,0.7687768934291404
1479.0,5.043177170744401,0.790571450855274
1480.5,5.416877276034009,0.8196077704140359
1482.0,3.361021368620568,0.7452745111277509
1483.5,4.359147814069836,0.6885024353619036
1485.0,4.521873063954694,0.7330086618438886
1486.5,5.292122587097084,0.7381688976261906
1488.0,5.105305592637357,0.7476421116507964
1489.5,4.3658750809644715,0.6525157037880083
1491.0,3.7733315769808864,0.6482809989474073
1492.5,4.637046683548482,0.6813246859131847
1494.0,4.064430823776243,0.6504080898505354
1495.5,4.320370996954871,0.6520209327655644
1497.0,4.556416850285475,0.6490074152431498
1498.5,4.773991147145743,0.6634362556043041
1500.0,4.899640551995722,0.6367497677298323
1501.5,4.37443669507706,0.6655411146904908
1503.0,4.011867399418567,0.6354754164973955
1504.5,4.525246452162039,0.6463579724754472
1506.0,4.623358654339635,0.6359411998218601
1507.5,4.521138547083371,0.6284239605505425
1509.0,4.282907047097025,0.6011374238651526
1510.5,5.110961130699185,0.6109990391199734
1512.0,3.9161323974034508,0.5808418889182048
1513.5,3.9852102605279667,0.61626412460951
1515.0,3.973761278670581,0.579055527637775
1516.5,4.942078122111012,0.6134621585496216
1518.0,4.295564503017307,0.5952758460161555
1519.5,4.393330006900052,0.5796105628265029
1521.0,4.261984351913986,0.5966036874975574
1522.5,3.454949390076415,0.511574173299936
1524.0,4.039290084853725,0.5397839351862681
1525.5,4.24677488080086,0.543907483146682
1527.0,3.833619107823852,0.5157778260613534
1528.5,4.278875262232036,0.544708159764924
1530.0,4.462680561843371,0.5127572114647987
1531.5,3.7872700005903237,0.48782318590650914
1533.0,4.577664045063659,0.51657277698126
1534.5,4.336072529526368,0.5467099315887259
1536.0,4.3322674570472675,0.5383490093560882
1537.5,5.449810187269969,0.5597539189359759
1539.0,4.147974494144098,0.5664036022801124
1540.5,4.704350175851668,0.4812821577805446
1542.0,4.36689144428416,0.5152053769383137
1543.5,3.6562210633974024,0.43067295574051734
1545.0,3.9654925564928836,0.450830361073134
1546.5,4.534173687000465,0.46930992338297567
1548.0,6.592085942344131,0.4803744830831649
1549.5,6.486151424737262,0.4933264676646083
1551.0,6.792131437863712,0.48730517398808615
1552.5,6.0765086605238805,0.46575706567373315
1554.0,5.280581739479355,0.4442740947800959
1555.5,4.6936975172958455,0.43324440294597677
1557.0,4.709756031032085,0.4458021376865939
1558.5,4.31634596583288,0.43991082228462414
1560.0,4.202837695079349,0.40863687754147315
1561.5,4.117441431634478,0.4040855250258518
1563.0,4.413081022708678,0.4015111519484599
1564.5,4.097793566047501,0.4098181988984684
1566.0,3.77896008326137,0.38295844055380596
1567.5,4.223182447996335,0.39212570813708925
1569.0,3.3346603854883483,0.33612628005496836
1570.5,4.416817958502617,0.3842734074155427
1572.0,3.9652764574522315,0.36122360105209117
1573.5,3.840002546573624,0.3472617088021903
1575.0,3.9946720283555144,0.3757079301700049
1576.5,4.128510487115289,0.3655967368795377
1578.0,4.111542088211462,0.3824732402275868
1579.5,3.4332082021341996,0.3335076096590048
1581.0,3.652229590487646,0.3468492616294981
1582.5,4.175299322935427,0.3459597491978877
1584.0,3.2782438668740257,0.3211638249646858
1585.5,3.73058608752453,0.33398745260857754
1587.0,3.541174541807871,0.3253409949266848
1588.5,3.810343329698008,0.3229264131228548
1590.0,3.657599204595354,0.32260638076745723
1591.5,3.846522274985471,0.3326923485344381
1593.0,3.3987694210634376,0.30698787483508827
1594.5,3.6764525697929633,0.30366016286317277
1596.0,3.603105596475749,0.3101869579204888
1597.5,3.622468907512138,0.29858473031285465
1599.0,3.3419190704370036,0.29339302527087563
1600.5,3.3018130656214986,0.29028898708793516
1602.0,3.507860511567327,0.29076887432003523
1603.5,3.488952156828751,0.3049230885950761
1605.0,3.3825115792806644,0.31844897796838306
1606.5,3.5025467553889165,0.3286805862662381
1608.0,3.3026018066249234,0.3146320182814117
1609.5,2.950062859094567,0.2846505066501109
1611.0,3.096819999841397,0.32134968701259037
1612.5,3.0657415259658847,0.2998090210797714
1614.0,3.905612712811256,0.3164524242340287
1615.5,3.3546045829092765,0.3141159166459765
1617.0,3.7382747582544678,0.3219353734143444
1618.5,4.019538252508048,0.32143762112550145
1620.0,3.328085754686795,0.2993310265004784
1621.5,3.270199303622646,0.3069131930148686
1623.0,3.4312498916029996,0.306503546776476
1624.5,3.512354274023245,0.30150950487774014
1626.0,3.463719296149446,0.3031368709918643
1627.5,3.534789159378553,0.2914248116241463
1629.0,3.817188543678103,0.30071443529510317
1630.5,3.172475055067262,0.2680527663501673
1632.0,3.996490698900399,0.3012761564676649
1633.5,4.281415144779681,0.3065022922610667
1635.0,4.070998935818318,0.2976456353897209
1636.5,4.222242066992775,0.3128487567393445
1638.0,4.799814964875545,0.3179063954684004
